# eps(GeV),sophia_proton(microb),sophia_netron(microb)
2.668167602447191547e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.705304208038224884e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.742957695504879070e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.781135259012293762e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.819844192856827206e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.859091892859721984e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.898885857780167039e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.939233690748031466e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.980143100716533405e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.021621903935132677e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.063678025442920574e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.106319500582802040e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.149554476536739478e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.193391213882377372e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.237838088171327705e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.282903591529422876e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.328596334279239344e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.374925046585210142e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.421898580121625344e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.469525909763863936e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.517816135303142994e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.566778483185151921e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.616422308272879832e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.666757095633976088e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.717792462352988853e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.769538159368831381e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.822004073337817442e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.875200228522629464e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.929136788707579542e-02,0.000000000000000000e+00,0.000000000000000000e+00
3.983824059140524815e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.039272488501812614e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.095492670900632848e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.152495347899149564e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.210291410564813430e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.268891901551231938e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.328308017208007397e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.388551109719935478e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.449632689275988262e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.511564426268466904e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.574358153522781884e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.638025868558259823e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.702579735880418194e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.768032089305141580e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.834395434315219564e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.901682450449660472e-02,0.000000000000000000e+00,0.000000000000000000e+00
4.969905993726283361e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.039079099098017073e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.109214982943389299e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.180327045591680973e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.252428873883221994e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.325534243765329273e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.399657122924367975e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.474811673454453576e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.551012254563296444e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.628273425315701711e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.706609947415264977e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.786036788024773864e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.866569122625871213e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.948222337918520480e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.031012034760822177e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.114954031149753833e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.200064365243391357e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.286359298425206465e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.373855318410991122e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.462569142399048061e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.552517720264222634e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.643718237796375492e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.736188119983949063e-02,0.000000000000000000e+00,0.000000000000000000e+00
